Day,Before_Stimulation,After_Stimulation,Difference,Percent_Change
1,7.173233826925756,7.208745119115958,0.035511292190202326,0.4950527620737195
2,6.6843785817884225,7.504756930369979,0.8203783485815563,12.273068297129006
3,6.976343437580742,6.847871440653448,-0.12847199692729383,-1.8415377350150264
4,7.409933390381643,7.028803517552524,-0.3811298728291188,-5.143499310315514
5,6.215028071782871,7.357208177794662,1.1421801060117902,18.377714353334195
6,6.872636370108552,6.965493642972588,0.09285727286403667,1.3511157562169989
7,7.682439910712869,7.2764477166715205,-0.4059921940413487,-5.284677768519973
8,6.511897194730955,7.484938278547131,0.9730410838161756,14.94251298382756
9,7.201740650141856,7.392218087507164,0.19047743736530798,2.6448805451159374
10,7.175923923342581,7.322509694784615,0.14658577144203377,2.0427442237118005
11,6.939713031368549,7.594880347863428,0.6551673164948788,9.440841624623724
12,7.477770318277336,7.015398545927695,-0.46237177234964033,-6.183283955907295
13,6.874655164585086,7.282495405346222,0.40784024076113656,5.932519246378104
14,7.162434867469256,7.044757493212347,-0.1176773742569086,-1.642980026127459
15,7.1034776296242885,7.45966481862273,0.35618718899844115,5.014264949790238
